user_id,customer_id,transaction_amount,transaction_type,transaction_date
1fe1a542-f4e0-4d64-896b-dc2747becf8e,be0f2e99-e60d-4d79-a726-bf31162c38f7,50000,credit,2021-08-17
1fe1a542-f4e0-4d64-896b-dc2747becf8e,be0f2e99-e60d-4d79-a726-bf31162c38f7,144803,credit,2021-07-17
5d4daff8-9df1-4c0f-a9ee-7808a5d0fedb,be2b8aac-fa82-4ff2-93b8-f029c856da5f,12000,credit,2021-05-09
5d4daff8-9df1-4c0f-a9ee-7808a5d0fedb,be2b8aac-fa82-4ff2-93b8-f029c856da5f,25000,credit,2021-04-05
5d4daff8-9df1-4c0f-a9ee-7808a5d0fedb,be2b8aac-fa82-4ff2-93b8-f029c856da5f,1000,credit,2021-04-30
5d4daff8-9df1-4c0f-a9ee-7808a5d0fedb,be2b8aac-fa82-4ff2-93b8-f029c856da5f,9000,credit,2021-05-06
5d4daff8-9df1-4c0f-a9ee-7808a5d0fedb,be2b8aac-fa82-4ff2-93b8-f029c856da5f,16500,credit,2021-04-05
5d4daff8-9df1-4c0f-a9ee-7808a5d0fedb,be2b8aac-fa82-4ff2-93b8-f029c856da5f,30000,credit,2021-07-16
5d4daff8-9df1-4c0f-a9ee-7808a5d0fedb,be2b8aac-fa82-4ff2-93b8-f029c856da5f,15000,credit,2021-09-09
5d4daff8-9df1-4c0f-a9ee-7808a5d0fedb,be2b8aac-fa82-4ff2-93b8-f029c856da5f,10000,credit,2021-04-05
5d4daff8-9df1-4c0f-a9ee-7808a5d0fedb,be2b8aac-fa82-4ff2-93b8-f029c856da5f,15000,credit,2021-06-27
5d4daff8-9df1-4c0f-a9ee-7808a5d0fedb,be2b8aac-fa82-4ff2-93b8-f029c856da5f,5000,credit,2021-07-20
5d4daff8-9df1-4c0f-a9ee-7808a5d0fedb,be2b8aac-fa82-4ff2-93b8-f029c856da5f,8500,credit,2021-04-05
5d4daff8-9df1-4c0f-a9ee-7808a5d0fedb,be2b8aac-fa82-4ff2-93b8-f029c856da5f,11000,credit,2021-04-05
5d4daff8-9df1-4c0f-a9ee-7808a5d0fedb,be2b8aac-fa82-4ff2-93b8-f029c856da5f,15000,credit,2021-04-27
5d4daff8-9df1-4c0f-a9ee-7808a5d0fedb,be2b8aac-fa82-4ff2-93b8-f029c856da5f,1000,credit,2021-06-04
5d4daff8-9df1-4c0f-a9ee-7808a5d0fedb,be2b8aac-fa82-4ff2-93b8-f029c856da5f,20000,credit,2021-06-17
5d4daff8-9df1-4c0f-a9ee-7808a5d0fedb,be2b8aac-fa82-4ff2-93b8-f029c856da5f,30000,credit,2021-06-15
5d4daff8-9df1-4c0f-a9ee-7808a5d0fedb,be2b8aac-fa82-4ff2-93b8-f029c856da5f,8500,credit,2021-06-04
5d4daff8-9df1-4c0f-a9ee-7808a5d0fedb,be2b8aac-fa82-4ff2-93b8-f029c856da5f,11000,credit,2021-05-06
5d4daff8-9df1-4c0f-a9ee-7808a5d0fedb,be2b8aac-fa82-4ff2-93b8-f029c856da5f,1000,credit,2021-05-25
5d4daff8-9df1-4c0f-a9ee-7808a5d0fedb,be2b8aac-fa82-4ff2-93b8-f029c856da5f,10000,credit,2021-05-20
5d4daff8-9df1-4c0f-a9ee-7808a5d0fedb,be2b8aac-fa82-4ff2-93b8-f029c856da5f,10000,credit,2021-08-14
5d4daff8-9df1-4c0f-a9ee-7808a5d0fedb,be2b8aac-fa82-4ff2-93b8-f029c856da5f,20000,credit,2021-08-14
5d4daff8-9df1-4c0f-a9ee-7808a5d0fedb,be2b8aac-fa82-4ff2-93b8-f029c856da5f,10000,credit,2021-06-29
